RagioneSociale; IndirizzoAzienda; TelefonoAzienda
Tesla Inc.;Austin, Texas, Stati Uniti;0123456789
Microsoft Corporation;Redmond, Washington, Stati Uniti;1234567890
Facebook Inc.;Menlo Park, California, Stati Uniti;2345678901
Red Hat Inc.;Raleigh, Caroline del Nord, Stati Uniti;3456789012
Apple Inc.;Cupertino, California, Stati Uniti;4567890123
Google LLC;Mountain View, California, Stati Uniti;6678901234
Samsung Electronics Co.;Suwon, Corea del Sud;5383738382
Xiaomi Corporation;Haidian, Pechino, Cina;7890123456
Amazon Inc.;Seattle, Washington, Stati Uniti;8901234567
Intel Corporation;Santa Clara, California, Stati Uniti;9012345678
